,Index,Title,Link,Description
0,0,Bulk fracture anisotropy in Cold-Sprayed Al 6061 deposits ...,https://www.sciencedirect.com/science/article/abs/pii/S0013794422000649,"Mar 15, 2022 ... ... Al 6061 cold spray deposits. Tensile ... Luzin et al. Residual stress and thermo-mechanical properties of cold spray metal coatings ..."
1,1,Aluminium 6061 - SPEE3D 3D Metal Printing,https://www.spee3d.com/material/aluminium-alloy-6061-spd/,Composition and mechanical properties may vary. End-use material performance is impacted (+/-) by certain factors including but not limited to part geometry and ...
2,2,Tailoring powder strengths for enhanced quality of cold sprayed ...,https://www.sciencedirect.com/science/article/pii/S0264127522001150,Initial observation of grain orientation dependent nanoindentation hardness of Al 6061 gas-atomized powder ... Machinability of Al 6061 deposited with cold spray ...
3,3,Stress Corrosion Cracking Resistance of Cold-Sprayed Al 6061 ...,https://www.mdpi.com/2079-6412/9/7/445,The stress corrosion cracking (SCC) response of Al 6061 bulk deposits produced by high-pressure cold spray (HPCS) was investigated and compared to ...
4,4,Precipitation behavior of cold sprayed Al6061 coatings - ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S2589152922001934,studied Inter-splat bonding strength in cold spray deposited Al-6061 alloy ... Luzin et al. Residual stress and thermo-mechanical properties of cold spray metal ...
5,5,Cold spray process depiction with gas-atomized Al 6061 feedstock ...,https://www.researchgate.net/figure/Cold-spray-process-depiction-with-gas-atomized-Al-6061-feedstock-a-is-a-schematic_fig1_344155675,"... to the point, the orthogonal orientation relative to the cold spray direction of supersonic particle deposition was found to have a lower hardness than the ..."
6,6,Mechanical Properties of Cold Sprayed Aluminium 2024 and 7075 ...,https://www.mdpi.com/2226-4310/9/2/65,"Jan 26, 2022 ... For cold spray repair of such components, the microstructure, tensile, peel, bearing, and bending strength from the repair process and powder ..."
7,7,Secondary electron images of wrought Al 6061-T6 fracture surfaces ...,https://www.researchgate.net/figure/Secondary-electron-images-of-wrought-Al-6061-T6-fracture-surfaces-The-fractography_fig1_334521969,"... Al 6061 cold spray deposits. Tensile properties (elastic modulus, yield strength, tensile strength, and elongation at break) were measured in the two in ..."
8,8,Cold Spray & Surface Coating Technology Literature - Valimet,https://valimet.com/literature/cold-spray-and-surface-coating-technology/,Residual Stress and Corrosion Resistance of Aluminium Coatings Deposited by Cold Spray ... The stress corrosion cracking (SCC) response of Al 6061 bulk ...
9,9,Comparing Relative Bond Characteristics Between Spherical and ...,https://link.springer.com/article/10.1007/s11666-022-01448-3,"Aug 10, 2022 ... ... elongated aluminum alloy- Al-6061 feedstock particles. The splat ... stress measurement and obtained the thickness stress profiles of cold spray ..."
10,10,Critical Assessment 11: Structural repairs by cold spray,https://www.tandfonline.com/doi/full/10.1179/1743284714Y.0000000723,"When annealed, cold spray deposit strength decreases, but elongation and ductility increase. 5. Comparison of cold sprayed 6061 aluminium characteristics with ..."
11,11,Laser Assisted Cold Spray of Aluminum Alloy 6061,https://repository.library.northeastern.edu/files/neu:ms35xq669/fulltext.pdf,Ultimate tensile stress (UTS) and percent elongation at fracture (%EL) were obtained from the tensile tests and summarized in Figure 12. The temperature of the ...
12,12,Initial Observation of Grain Orientation Dependent Nanoindentation ...,https://www.vibgyorpublishers.org/content/ijmmp/fulltext.php?aid=ijmmp-5-050,"Mar 26, 2020 ... Figure 5: Optical image of cold spray Al 6061 etched..... Optical ... Hardness of Al 6061 Gas-atomized Powder. Int J Metall Met Phys 5 ..."
13,13,Aging Time Effects on the Mechanical Properties of Al 6061-T6 Alloy ...,https://etasr.com/index.php/ETASR/article/view/2102,... hardness and tensile strength (mechanical properties) of Al 6061-T6 alloy. ... Sintering of Cold Spray Additively Manufactured Aluminum 6061. Journal of ...
14,14,2021-22 Ivan Petrov - Scott Julien - ASM Boston Chapter,https://www.asmboston.org/2021-22-ivan-petrov---scott-julien2.html,"Mar 17, 2022 ... ... Al 6061 cold spray deposits were studied. Tensile properties (elastic modulus, yield strength, tensile strength, and elongation at break) ..."
15,15,Cold-Sprayed Aluminum Alloys: Exploring the Differences Between ...,https://dl.asminternational.org/itsc/article/doi/10.31399/asm.cp.itsc2024p0732/32522/Cold-Sprayed-Aluminum-Alloys-Exploring-the,"Apr 29, 2024 ... Generally, 7075 is more problematic in terms of deposition efficiency and the mechanical properties after heat treatment. The alloys were ..."
16,16,[PDF] The effect of heat treatment on the microstructure and ...,https://www.semanticscholar.org/paper/The-effect-of-heat-treatment-on-the-microstructure-Ashikin/e73509170e955cfd1d74dc55250e88b30480e71b,8 Citations · Effect of Cooling Medium and Tempering on Microstructures and Hardness of SK3 High Carbon Steel · Effect of Quenching Media on Mechanical Properties ...
