Index,Title,Link,Description
1,Bulk fracture anisotropy in Cold-Sprayed Al 6061 deposits ...,https://www.sciencedirect.com/science/article/abs/pii/S0013794422000649,"Mar 15, 2022 ... Tensile and fracture anisotropy were studied in helium-sprayed bulk Al 6061 cold spray deposits. Tensile properties (elastic modulus, ..."
2,Quantitative Nondestructive Evaluation of Cold Spray Manufactured ...,https://link.springer.com/article/10.1007/s11666-024-01738-y,"Feb 28, 2024 ... ... tensile strength in cold spray (CS) produced specimens. ... Al6061 Aluminium Parts Built by Cold Spray Additive Manufacturing Process, Int."
3,Laser assisted cold spray of aluminum alloy 6061: Experimental ...,https://www.sciencedirect.com/science/article/abs/pii/S2214860424005943,"Sep 5, 2024 ... Summary and conclusions. For LACS of Al6061 in nitrogen, tensile ... Al6061 aluminium parts built by cold spray additive manufacturing process ..."
4,Stress Corrosion Cracking Resistance of Cold-Sprayed Al 6061 ...,https://www.mdpi.com/2079-6412/9/7/445,... Al 6061-T6 and 251–193 MPa for the cold-sprayed Al 6061 for all samples exposed for 90 days. The yield and tensile strength of the cold spray samples was ...
5,Laser Assisted Cold Spray of Aluminum Alloy 6061,https://repository.library.northeastern.edu/files/neu:ms35xq669/fulltext.pdf,"Al 6061 tensile block after a completed spray. ... Lupoi,. ""Machinability of Al 6061 Deposited with Cold Spray Additive Manufacturing,"" ..."
6,Critical Assessment 11: Structural repairs by cold spray,https://www.tandfonline.com/doi/full/10.1179/1743284714Y.0000000723,... tensile residual stress after cooling. ... Cold spray deposit porosity is typically less than 1%. 3. Cross-section of cold spray deposited 6061 aluminium alloy.
7,Secondary electron images of wrought Al 6061-T6 fracture surfaces ...,https://www.researchgate.net/figure/Secondary-electron-images-of-wrought-Al-6061-T6-fracture-surfaces-The-fractography_fig1_334521969,"Tensile and fracture anisotropy were studied in helium-sprayed bulk Al 6061 cold spray deposits. Tensile properties (elastic modulus, yield strength, tensile ..."
8,AA6061 | Impact Cold Spray System,https://impact-innovations.com/en/materials/aa6061/,"Tensile Strength, 155 MPa, --. Ductility, 0.25 %. Hardness, --, --. Impact Innovations Cold Spray Systems. Products. Renowned companies from all over the world ..."
9,Cold Spray Additive Manufacturing: A Layered Effect — the UWA ...,https://research-repository.uwa.edu.au/en/publications/cold-spray-additive-manufacturing-a-layered-effect,"Feb 11, 2020 ... Sections of cold-spray additively manufactured (CSAM) aluminium 6061 ... tensile strength from 178±3 to 280±14 MPa (n=6) and the elongation ..."
10,Euler EBSD map of cold spray deposit using the feedstock Al 6061 ...,https://www.researchgate.net/figure/Euler-EBSD-map-of-cold-spray-deposit-using-the-feedstock-Al-6061-powder-showing-a-large_fig14_333737668,Download scientific diagram | Euler EBSD map of cold spray deposit using the feedstock Al 6061 powder showing a large distribution of LAGBs (between 1° and ...
